YEAR,STATE,RATE,DEATHS,LAT,LON
2021,Alabama,30.1,1408,32.806671,-86.79113
2021,Alaska,35.6,260,61.370716,-152.404419
2021,Arizona,38.7,2730,33.729759,-111.431221
2021,Arkansas,22.3,637,34.969704,-92.373123
2021,California,26.6,10901,36.116203,-119.681564
2021,Colorado,31.4,1887,39.059811,-105.311104
2021,Connecticut,42.3,1552,41.597782,-72.755371
2021,Delaware,54,513,39.318523,-75.507141
2021,Florida,37.5,7827,27.766279,-81.686783
2021,Georgia,23.5,2500,33.040619,-83.643074
2021,Hawaii,17.3,269,21.094318,-157.498337
2021,Idaho,19,354,44.240459,-114.478828
2021,Illinois,29,3762,40.349457,-88.986137
2021,Indiana,43,2811,39.849426,-86.258278
2021,Iowa,15.3,475,42.011539,-93.210526
2021,Kansas,24.3,680,38.5266,-96.726486
2021,Kentucky,55.6,2381,37.66814,-84.670067
2021,Louisiana,55.9,2463,31.169546,-91.867805
2021,Maine,47.1,611,44.693947,-69.381927
2021,Maryland,42.8,2737,39.063946,-76.802101
2021,Massachusetts,36.8,2585,42.230171,-71.530106
2021,Michigan,31.5,3089,43.326618,-84.536095
2021,Minnesota,24.5,1356,45.694454,-93.900192
2021,Mississippi,28.4,787,32.741646,-89.678696
2021,Missouri,36.5,2155,38.456085,-92.288368
2021,Montana,19.5,199,46.921925,-110.454353
2021,Nebraska,11.4,214,41.12537,-98.268082
2021,Nevada,29.2,949,38.313515,-117.055374
2021,New Hampshire,32.3,441,43.452492,-71.563896
2021,New Jersey,32.4,3056,40.298904,-74.521011
2021,New Mexico,51.6,1052,34.840515,-106.248482
2021,New York,28.7,5842,42.165726,-74.948051
2021,North Carolina,39.2,3981,35.630066,-79.806419
2021,North Dakota,17.2,124,47.528912,-99.784012
2021,Ohio,48.1,5397,40.388783,-82.764915
2021,Oklahoma,24.4,960,35.565342,-96.928917
2021,Oregon,26.8,1171,44.572021,-122.070938
2021,Pennsylvania,43.2,5449,40.590752,-77.209755
2021,Rhode Island,41.7,455,41.680893,-71.51178
2021,South Carolina,42.8,2138,33.856892,-80.945007
2021,South Dakota,12.6,105,44.299782,-99.438828
2021,Tennessee,56.6,3813,35.747845,-86.692345
2021,Texas,16.8,4984,31.054487,-97.563461
2021,Utah,21.1,662,40.150032,-111.862434
2021,Vermont,42.3,252,44.045876,-72.710686
2021,Virginia,30.5,2626,37.769337,-78.169968
2021,Washington,28.1,2264,47.400902,-121.490494
2021,West Virginia,90.9,1501,38.491226,-80.954212
2021,Wisconsin,31.6,1775,44.268543,-89.616508
2021,Wyoming,18.9,109,42.755966,-107.30249
2020,Alabama,22.3,1029,32.806671,-86.79113
2020,Alaska,22,160,61.370716,-152.404419
2020,Arizona,35.8,2550,33.729759,-111.431221
2020,Arkansas,19.1,546,34.969704,-92.373123
2020,California,21.8,8908,36.116203,-119.681564
2020,Colorado,24.9,1492,39.059811,-105.311104
2020,Connecticut,39.1,1371,41.597782,-72.755371
2020,Delaware,47.3,444,39.318523,-75.507141
2020,Florida,35,7231,27.766279,-81.686783
2020,Georgia,18,1916,33.040619,-83.643074
2020,Hawaii,18.3,274,21.094318,-157.498337
