YEAR,STATE,RATE,DEATHS,LAT,LON
2021,Alabama,26.4,1315,32.806671,-86.79113
2021,Alaska,25.2,182,61.370716,-152.404419
2021,Arizona,18.3,1365,33.729759,-111.431221
2021,Arkansas,23.3,698,34.969704,-92.373123
2021,California,9,3576,36.116203,-119.681564
2021,Colorado,17.8,1064,39.059811,-105.311104
2021,Connecticut,6.7,248,41.597782,-72.755371
2021,Delaware,16.6,158,39.318523,-75.507141
2021,Florida,14.1,3142,27.766279,-81.686783
2021,Georgia,20.3,2200,33.040619,-83.643074
2021,Hawaii,4.8,71,21.094318,-157.498337
2021,Idaho,16.3,309,44.240459,-114.478828
2021,Illinois,16.1,1995,40.349457,-88.986137
2021,Indiana,18.4,1251,39.849426,-86.258278
2021,Iowa,11.2,364,42.011539,-93.210526
2021,Kansas,17.3,503,38.5266,-96.726486
2021,Kentucky,21.1,947,37.66814,-84.670067
2021,Louisiana,29.1,1314,31.169546,-91.867805
2021,Maine,12.6,178,44.693947,-69.381927
2021,Maryland,15.2,915,39.063946,-76.802101
2021,Massachusetts,3.4,247,42.230171,-71.530106
2021,Michigan,15.4,1544,43.326618,-84.536095
2021,Minnesota,10,573,45.694454,-93.900192
2021,Mississippi,33.9,962,32.741646,-89.678696
2021,Missouri,23.2,1414,38.456085,-92.288368
2021,Montana,25.1,280,46.921925,-110.454353
2021,Nebraska,10.3,200,41.12537,-98.268082
2021,Nevada,19.8,633,38.313515,-117.055374
2021,New Hampshire,8.3,123,43.452492,-71.563896
2021,New Jersey,5.2,475,40.298904,-74.521011
2021,New Mexico,27.8,578,34.840515,-106.248482
2021,New York,5.4,1078,42.165726,-74.948051
2021,North Carolina,17.3,1839,35.630066,-79.806419
2021,North Dakota,16.8,128,47.528912,-99.784012
2021,Ohio,16.5,1911,40.388783,-82.764915
2021,Oklahoma,21.2,836,35.565342,-96.928917
2021,Oregon,14.9,670,44.572021,-122.070938
2021,Pennsylvania,14.8,1905,40.590752,-77.209755
2021,Rhode Island,5.6,64,41.680893,-71.51178
