YEAR,STATE,RATE,DEATHS,LAT,LON
2021,Alabama,15.9,748,32.806671,-86.79113
2021,Alaska,6.4,49,61.370716,-152.404419
2021,Arizona,8.1,562,33.729759,-111.431221
2021,Arkansas,11.7,335,34.969704,-92.373123
2021,California,6.4,2495,36.116203,-119.681564
2021,Colorado,6.3,368,39.059811,-105.311104
2021,Connecticut,4.8,160,41.597782,-72.755371
2021,Delaware,11.3,103,39.318523,-75.507141
2021,Florida,7.4,1468,27.766279,-81.686783
2021,Georgia,11.4,1206,33.040619,-83.643074
2021,Hawaii,2.7,39,21.094318,-157.498337
2021,Idaho,2.2,41,44.240459,-114.478828
2021,Illinois,12.3,1487,40.349457,-88.986137
2021,Indiana,9.6,624,39.849426,-86.258278
2021,Iowa,3.2,94,42.011539,-93.210526
2021,Kansas,6.4,180,38.5266,-96.726486
2021,Kentucky,9.6,408,37.66814,-84.670067
2021,Louisiana,21.3,943,31.169546,-91.867805
2021,Maine,1.7,20,44.693947,-69.381927
2021,Maryland,12.2,709,39.063946,-76.802101
2021,Massachusetts,2.3,160,42.230171,-71.530106
2021,Michigan,8.7,822,43.326618,-84.536095
2021,Minnesota,4.3,232,45.694454,-93.900192
2021,Mississippi,23.7,656,32.741646,-89.678696
2021,Missouri,12.4,716,38.456085,-92.288368
2021,Montana,4.4,46,46.921925,-110.454353
2021,Nebraska,3.6,70,41.12537,-98.268082
2021,Nevada,8.5,264,38.313515,-117.055374
2021,New Hampshire,0,15,43.452492,-71.563896
2021,New Jersey,4.8,409,40.298904,-74.521011
2021,New Mexico,15.3,306,34.840515,-106.248482
2021,New York,4.8,918,42.165726,-74.948051
2021,North Carolina,9.7,991,35.630066,-79.806419
2021,North Dakota,3.4,24,47.528912,-99.784012
2021,Ohio,9.3,1020,40.388783,-82.764915
2021,Oklahoma,8.9,342,35.565342,-96.928917
2021,Oregon,4.9,204,44.572021,-122.070938
2021,Pennsylvania,9.2,1101,40.590752,-77.209755
2021,Rhode Island,3.6,40,41.680893,-71.51178
2021,South Carolina,13.4,656,33.856892,-80.945007
2021,South Dakota,5.3,45,44.299782,-99.438828
2021,Tennessee,12.2,810,35.747845,-86.692345
2021,Texas,8.2,2391,31.054487,-97.563461
2021,Utah,2.7,91,40.150032,-111.862434
2021,Vermont,0,10,44.045876,-72.710686
2021,Virginia,7.2,606,37.769337,-78.169968
2021,Washington,4.5,346,47.400902,-121.490494
2021,West Virginia,6.9,114,38.491226,-80.954212
2021,Wisconsin,6.4,348,44.268543,-89.616508
2021,Wyoming,0,16,42.755966,-107.30249
2020,Alabama,14.2,654,32.806671,-86.79113
2020,Alaska,7.3,55,61.370716,-152.404419
2020,Arizona,7.5,525,33.729759,-111.431221
2020,Arkansas,13,371,34.969704,-92.373123
2020,California,6.1,2368,36.116203,-119.681564
2020,Colorado,5.8,336,39.059811,-105.311104
2020,Connecticut,4.6,152,41.597782,-72.755371
2020,Delaware,9.9,86,39.318523,-75.507141
2020,Florida,7.8,1530,27.766279,-81.686783
2020,Georgia,10.5,1093,33.040619,-83.643074
2020,Hawaii,3.3,46,21.094318,-157.498337
2020,Idaho,2.5,42,44.240459,-114.478828
2020,Illinois,11.2,1353,40.349457,-88.986137
2020,Indiana,9.7,620,39.849426,-86.258278
2020,Iowa,3.6,106,42.011539,-93.210526
2020,Kansas,7,195,38.5266,-96.726486
2020,Kentucky,9.5,404,37.66814,-84.670067
2020,Louisiana,19.9,873,31.169546,-91.867805
2020,Maine,1.6,21,44.693947,-69.381927
2020,Maryland,11.4,649,39.063946,-76.802101
2020,Massachusetts,2.7,183,42.230171,-71.530106
2020,Michigan,8.7,811,43.326618,-84.536095
2020,Minnesota,3.6,198,45.694454,-93.900192
2020,Mississippi,20.5,576,32.741646,-89.678696
2020,Missouri,14,803,38.456085,-92.288368
2020,Montana,6.6,65,46.921925,-110.454353
2020,Nebraska,4.1,76,41.12537,-98.268082
2020,Nevada,7.3,217,38.313515,-117.055374
2020,New Hampshire,0,14,43.452492,-71.563896
2020,New Jersey,4.3,362,40.298904,-74.521011
2020,New Mexico,10.8,216,34.840515,-106.248482
2020,New York,4.7,875,42.165726,-74.948051
2020,North Carolina,8.6,884,35.630066,-79.806419
2020,North Dakota,4.4,30,47.528912,-99.784012
2020,Ohio,9.1,1004,40.388783,-82.764915
2020,Oklahoma,9,342,35.565342,-96.928917
2020,Oregon,3.8,157,44.572021,-122.070938
2020,Pennsylvania,8.5,994,40.590752,-77.209755
2020,Rhode Island,3,29,41.680893,-71.51178
2020,South Carolina,12.7,622,33.856892,-80.945007
2020,South Dakota,6.5,52,44.299782,-99.438828
2020,Tennessee,11.5,753,35.747845,-86.692345
2020,Texas,7.6,2212,31.054487,-97.563461
2020,Utah,2.9,95,40.150032,-111.862434
2020,Vermont,0,14,44.045876,-72.710686
2020,Virginia,6.4,531,37.769337,-78.169968
2020,Washington,4.2,322,47.400902,-121.490494
2020,West Virginia,7,114,38.491226,-80.954212
2020,Wisconsin,6.1,334,44.268543,-89.616508
2020,Wyoming,4.9,25,42.755966,-107.30249
2019,Alabama,12.8,587,32.806671,-86.79113
2019,Alaska,10.8,78,61.370716,-152.404419
